Year,Name,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,REC_YACR,TotalYards,TotalTDs,Age,Pos
2015,Jarvis Landry,113.0,18.0,1.0,110.0,1157.0,4.0,165.0,567.0,1270.0,5.0,23.0,WR
2015,Jason Witten,0.0,0.0,0.0,77.0,713.0,3.0,104.0,230.0,713.0,3.0,33.0,TE
2015,Javorius Allen,514.0,137.0,1.0,45.0,353.0,2.0,61.0,330.0,867.0,3.0,24.0,RB
2015,Jay Ajayi,187.0,49.0,1.0,7.0,90.0,0.0,11.0,84.0,277.0,1.0,22.0,RB
2015,Jeff Janis,0.0,0.0,0.0,2.0,79.0,0.0,11.0,29.0,79.0,0.0,Unknown,WR
2015,Jeremy Hill,794.0,223.0,11.0,15.0,79.0,1.0,19.0,88.0,873.0,12.0,23.0,RB
2015,Jeremy Kerley,0.0,0.0,0.0,16.0,152.0,2.0,26.0,97.0,152.0,2.0,27.0,WR
2015,Jeremy Langford,537.0,148.0,6.0,22.0,279.0,1.0,42.0,237.0,816.0,7.0,24.0,RB
2015,Jeremy Maclin,14.0,3.0,0.0,87.0,1088.0,8.0,124.0,342.0,1102.0,8.0,27.0,WR
2015,Jeremy Ross,2.0,1.0,0.0,9.0,88.0,0.0,14.0,71.0,90.0,0.0,Unknown,WR
2015,Jerick McKinnon,271.0,52.0,2.0,21.0,173.0,1.0,29.0,177.0,444.0,3.0,23.0,RB
2015,Jermaine Gresham,0.0,0.0,0.0,18.0,223.0,1.0,32.0,79.0,223.0,1.0,27.0,TE
2015,Jermaine Kearse,0.0,0.0,0.0,49.0,685.0,5.0,68.0,232.0,685.0,5.0,25.0,WR
2015,Jerome Simpson,0.0,0.0,0.0,5.0,54.0,1.0,19.0,16.0,54.0,1.0,29.0,WR
2015,Jerricho Cotchery,16.0,1.0,0.0,39.0,485.0,3.0,53.0,201.0,501.0,3.0,33.0,WR
2015,Jesse James,0.0,0.0,0.0,8.0,56.0,1.0,11.0,24.0,56.0,1.0,21.0,TE
2015,Jimmy Graham,0.0,0.0,0.0,48.0,605.0,2.0,73.0,232.0,605.0,2.0,29.0,TE
2015,John Brown,22.0,3.0,0.0,65.0,1003.0,7.0,101.0,335.0,1025.0,7.0,25.0,WR
2015,John Kuhn,28.0,9.0,2.0,6.0,56.0,0.0,10.0,62.0,84.0,2.0,33.0,RB
2015,John Phillips,0.0,0.0,0.0,10.0,69.0,1.0,11.0,25.0,69.0,1.0,28.0,TE
2015,Joique Bell,311.0,90.0,4.0,22.0,286.0,0.0,27.0,311.0,597.0,4.0,29.0,RB
2015,Jonathan Grimes,282.0,56.0,1.0,26.0,173.0,1.0,31.0,144.0,455.0,2.0,26.0,RB
2015,Jonathan Stewart,989.0,242.0,6.0,16.0,99.0,1.0,21.0,117.0,1088.0,7.0,28.0,RB
2015,Jordan Cameron,0.0,0.0,0.0,35.0,386.0,3.0,70.0,90.0,386.0,3.0,27.0,TE
2015,Jordan Matthews,0.0,0.0,0.0,85.0,997.0,8.0,127.0,447.0,997.0,8.0,23.0,WR
2015,Jordan Norwood,0.0,0.0,0.0,22.0,207.0,0.0,32.0,74.0,207.0,0.0,Unknown,WR
2015,Jordan Reed,0.0,0.0,0.0,87.0,952.0,11.0,114.0,480.0,952.0,11.0,25.0,TE
2015,Jordan Todman,22.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,Unknown,RB
2015,Joseph Randle,315.0,76.0,4.0,10.0,86.0,0.0,10.0,81.0,401.0,4.0,24.0,RB
2015,Josh Bellamy,0.0,0.0,0.0,19.0,224.0,2.0,35.0,68.0,224.0,2.0,26.0,WR
