Year,Name,Position,Age,RushYDs,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs
2015,Seth Roberts,WR,24,0,0,0,32,480,5,55,139,480,5
2015,Shane Vereen,RB,26,260,61,0,59,494,4,81,435,754,4
2015,Shaun Draughn,RB,28,273,78,1,27,176,0,35,183,449,1
2015,Spencer Ware,RB,24,403,72,6,6,5,0,6,15,408,6
2015,Stedman Bailey,WR,25,0,0,0,12,182,1,23,70,182,1
2015,Stefon Diggs,WR,22,13,3,0,52,720,4,85,303,733,4
2015,Stevan Ridley,RB,26,90,36,0,4,-2,0,5,12,88,0
2015,Steve Johnson,WR,29,0,0,0,45,497,3,65,276,497,3
2015,Steven Jackson,RB,32,50,21,1,1,20,0,1,24,70,1
2015,T.J. Jones,WR,23,-3,1,0,10,132,1,18,46,129,1
2015,T.J. Yeldon,RB,22,740,182,2,36,279,1,46,297,1019,3
2015,T.Y. Hilton,WR,26,0,0,0,69,1124,5,135,394,1124,5
2015,Taiwan Jones,RB,27,74,16,0,7,106,1,9,114,180,1
2015,Tavon Austin,WR,25,434,52,4,52,473,5,86,357,907,9
2015,Taylor Gabriel,WR,24,0,0,0,28,241,0,48,119,241,0
2015,Terrance West,RB,24,231,62,0,4,21,0,5,20,252,0
2015,Terrance Williams,WR,26,0,0,0,52,840,3,94,282,840,3
2015,Terrelle Pryor,WR,26,-1,1,0,1,42,0,8,8,41,0
2015,Terron Ward,RB,23,95,29,1,9,73,0,13,60,168,1
2015,Tevin Coleman,RB,22,392,87,1,2,14,0,11,12,406,1
2015,Theo Riddick,RB,24,133,43,0,80,697,3,99,659,830,3
2015,Thomas Rawls,RB,22,830,147,4,9,76,1,11,76,906,5
2015,Tim Hightower,RB,29,375,96,4,12,129,0,13,140,504,4
2015,Todd Gurley,RB,21,1106,229,10,21,188,0,26,202,1294,10
2015,Tony Moeaki,TE,28,0,0,0,3,58,1,5,54,58,1
2015,Torrey Smith,WR,26,0,0,0,33,663,4,61,237,663,4
2015,Travaris Cadet,RB,26,28,11,0,17,214,1,23,162,242,1
2015,Travis Benjamin,WR,26,12,4,0,68,966,5,124,324,978,5
2015,Travis Kelce,TE,26,0,0,0,72,875,5,100,536,875,5
2015,Tre Mason,RB,22,207,75,1,18,88,0,21,119,295,1
2015,Tre McBride,WR,23,8,1,0,2,8,1,4,0,16,1
2015,Trey Burton,TE,24,0,0,0,3,54,0,4,32,54,0
2015,Troy Niklas,TE,23,0,0,0,4,33,2,4,4,33,2
2015,Ty Montgomery,WR,22,14,3,0,15,136,2,18,95,150,2
2015,Tyler Eifert,TE,25,0,0,0,52,615,13,72,249,615,13
2015,Tyler Kroft,TE,23,0,0,0,11,129,1,14,74,129,1
2015,Tyler Lockett,WR,23,20,5,0,51,664,6,68,261,684,6
2015,Tyrell Williams,WR,23,0,0,0,2,90,1,6,51,90,1
2015,Vance McDonald,TE,25,0,0,0,30,326,3,46,184,326,3
2015,Vernon Davis,TE,31,0,0,0,38,395,0,58,157,395,0
2015,Vince Mayle,WR,24,0,0,0,0,0,0,1,0,0,0
2015,Vincent Jackson,WR,32,0,0,0,33,543,3,64,121,543,3
