Year,Name,Position,Age,Height (in),Weight (lbs),G,GS,RushYds,RushAtt,RushTD,Rec,RecYds,RecTDs,Tgts,YAC,TotalYards,TotalTDs,Team,Team (Abbr),Team Points Scored,Team Points Allowed,Team Total Yards,Team Pass Attempts,Team Passing Yards,Team PassingTDs,Team Rush Attempts,Team Rushing Yards,Team Rushing TDs,Team First Downs,Team Turnovers,Team RZSP,Team Offensive Efficiency,Team Passing Efficiency,Team Rushing Efficiency,Team Turnover Rate,Catch%,YardsPerReception,YardsPerTarget,YACPerReception,TDperReception,TDperTarget,YardsPerRush,TDperRush,TotalYardsPerTouch,TotalTDsPerTouch,TeamPassingYardsPerAttempt,TeamRushingYardsPerAttempt,TeamPassingTDPercentage,TeamRushingTDPercentage,TeamYardsPerPlay,TeamPointsPerYard,RZ Completions,RZ Targets,RZ CompPercent,RZ Rec TDs,RZ Rushes,RZ Rush TDs,PPR,PosRank
2017,Jaron Brown,WR,27,74,205,16,8,0,0,0,31,477,4,69,99,477,4,Cardinals,ARI,295.0,361.0,5026,598,3640,21,409,1386,6,310,25,0.4167,0.058695,6.086957,3.388753,0.024826,0.449275,15.3871,6.913043,3.193548,0.129032,0.057971,0.0,0.0,15.3871,0.129032,6.086957,3.388753,0.035117,0.01467,4.991063,0.058695,7,13,0.5385,2,0,0,102.7,59
2018,Jaron Brown,WR,28,75,205,16,2,0,0,0,14,166,5,19,47,166,5,Seahawks,SEA,428.0,347.0,5653,427,3093,35,534,2560,15,329,11,0.6552,0.075712,7.24356,4.794007,0.011446,0.736842,11.85714,8.736842,3.357143,0.357143,0.263158,0.0,0.0,11.85714,0.357143,7.24356,4.794007,0.081967,0.02809,5.882414,0.075712,6,7,0.8571,5,0,0,60.6,94
2019,Jaron Brown,WR,29,75,205,14,4,0,0,0,16,220,2,28,64,220,2,Seahawks,SEA,405.0,398.0,5991,517,3791,31,481,2200,15,341,20,0.6462,0.067601,7.332689,4.573805,0.02004,0.571429,13.75,7.857143,4.0,0.125,0.071429,0.0,0.0,13.75,0.125,7.332689,4.573805,0.059961,0.031185,6.003006,0.067601,3,6,0.5,2,0,0,48.0,107
2015,Jarvis Landry,WR,23,71,202,16,14,113,18,1,110,1157,4,165,567,1270,5,Dolphins,MIA,310.0,389.0,5307,588,3811,24,344,1496,11,291,19,0.5349,0.058413,6.481293,4.348837,0.020386,0.666667,10.51818,7.012121,5.154545,0.036364,0.024242,6.277778,0.055556,9.921875,0.039063,6.481293,4.348837,0.040816,0.031977,5.694206,0.058413,13,23,0.5652,4,1,0,275.4,13
2016,Jarvis Landry,WR,24,71,206,16,16,17,5,0,94,1136,4,131,622,1153,4,Dolphins,MIA,363.0,380.0,5324,477,3500,27,405,1824,14,278,23,0.551,0.068182,7.337526,4.503704,0.026077,0.717557,12.08511,8.671756,6.617021,0.042553,0.030534,3.4,0.0,11.64646,0.040404,7.337526,4.503704,0.056604,0.034568,6.036281,0.068182,7,9,0.7778,2,0,0,231.3,16
2017,Jarvis Landry,WR,25,71,208,16,16,-7,1,0,112,987,9,160,525,980,9,Dolphins,MIA,281.0,393.0,4923,602,3535,24,360,1388,4,284,29,0.5263,0.057079,5.872093,3.855556,0.030146,0.7,8.8125,6.16875,4.6875,0.080357,0.05625,-7.0,0.0,8.672566,0.079646,5.872093,3.855556,0.039867,0.011111,5.117464,0.057079,18,24,0.75,11,0,0,260.0,14
2018,Jarvis Landry,WR,26,71,208,16,14,60,3,1,81,976,4,149,290,1036,5,Browns,CLE,359.0,392.0,5900,574,4007,29,411,1893,15,314,24,0.6667,0.060847,6.980836,4.605839,0.024365,0.543624,12.04938,6.550336,3.580247,0.049383,0.026846,20.0,0.333333,12.33333,0.059524,6.980836,4.605839,0.050523,0.036496,5.989848,0.060847,10,20,0.5,2,1,1,217.1,22
2019,Jarvis Landry,WR,27,71,196,16,16,10,1,0,83,1174,6,138,440,1184,6,Browns,CLE,335.0,393.0,5455,539,3554,22,393,1901,15,305,28,0.58,0.061412,6.593692,4.83715,0.030043,0.601449,14.14458,8.507246,5.301205,0.072289,0.043478,10.0,0.0,14.09524,0.071429,6.593692,4.83715,0.040816,0.038168,5.853004,0.061412,13,21,0.619,5,0,0,237.4,14
2020,Jarvis Landry,WR,28,71,196,15,14,10,4,1,72,840,3,101,347,850,4,Browns,CLE,408.0,419.0,5913,501,3539,27,495,2374,21,355,16,0.7333,0.069001,7.063872,4.79596,0.016064,0.712871,11.66667,8.316832,4.819444,0.041667,0.029703,2.5,0.25,11.18421,0.052632,7.063872,4.79596,0.053892,0.042424,5.936747,0.069001,11,18,0.6111,4,2,1,188.0,35
2021,Jarvis Landry,WR,29,71,196,12,12,40,6,2,52,570,2,87,273,610,4,Browns,CLE,349.0,371.0,5791,520,3320,21,485,2471,20,342,22,0.62,0.060266,6.384615,5.094845,0.021891,0.597701,10.96154,6.551724,5.25,0.038462,0.022989,6.666667,0.333333,10.51724,0.068966,6.384615,5.094845,0.040385,0.041237,5.762189,0.060266,7,10,0.7,1,2,1,133.0,56
2022,Jarvis Landry,WR,30,71,196,9,3,0,0,0,25,272,1,39,61,272,1,Saints,NO,330.0,345.0,5674,512,3692,24,465,1982,12,305,25,0.5208,0.05816,7.210938,4.262366,0.025589,0.641026,10.88,6.974359,2.44,0.04,0.025641,0.0,0.0,10.88,0.04,7.210938,4.262366,0.046875,0.025806,5.807574,0.05816,3,7,0.4286,1,0,0,60.2,111
2018,Jason Croom,TE,24,76,246,15,3,0,0,0,22,259,1,35,140,259,1,Bills,BUF,269.0,374.0,4778,499,2794,13,468,1984,15,283,32,0.5946,0.0563,5.599198,4.239316,0.033092,0.628571,11.77273,7.4,6.363636,0.045455,0.028571,0.0,0.0,11.77273,0.045455,5.599198,4.239316,0.026052,0.032051,4.941055,0.0563,1,1,1.0,0,0,0,55.9,38
